ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2013-01-01,326526.68948971224,220368.8402521458,485698.48216268537,326526.68948971224,326526.68948971224,0.06657077770192664,0.06657077770192664,0.06657077770192664,-0.10290775834272527,-0.10290775834272527,-0.10290775834272527,0.1694785360446519,0.1694785360446519,0.1694785360446519,0.0,0.0,0.0,348263.8251494779
2013-01-02,326926.28139632224,220927.03403312134,488930.9132897921,326926.28139632224,326926.28139632224,0.08578880709533546,0.08578880709533546,0.08578880709533546,-0.06510548769895252,-0.06510548769895252,-0.06510548769895252,0.15089429479428798,0.15089429479428798,0.15089429479428798,0.0,0.0,0.0,354972.89708542667
2013-01-03,327325.87330293225,174076.13674171257,442737.1582896469,327325.87330293225,327325.87330293225,-0.07497597410488643,-0.07497597410488643,-0.07497597410488643,-0.20715479999995556,-0.20715479999995556,-0.20715479999995556,0.13217882589506913,0.13217882589506913,0.13217882589506913,0.0,0.0,0.0,302784.29710231227
2013-01-04,327725.4652095423,193527.2717913441,475099.4769862112,327725.4652095423,327725.4652095423,0.027580979831310606,0.027580979831310606,0.027580979831310606,-0.08603324223835351,-0.08603324223835351,-0.08603324223835351,0.11361422206966412,0.11361422206966412,0.11361422206966412,0.0,0.0,0.0,336764.4546556936
2013-01-05,328125.0571161523,290776.15688435064,558949.6378000112,328125.0571161523,328125.0571161523,0.29939109399401503,0.29939109399401503,0.29939109399401503,0.20392151252621057,0.20392151252621057,0.20392151252621057,0.09546958146780446,0.09546958146780446,0.09546958146780446,0.0,0.0,0.0,426362.7769330058
2013-01-06,328524.6490227623,317705.5073709213,578610.0455168838,328524.6490227623,328524.6490227623,0.36852260878867316,0.36852260878867316,0.36852260878867316,0.29052721418784977,0.29052721418784977,0.29052721418784977,0.07799539460082337,0.07799539460082337,0.07799539460082337,0.0,0.0,0.0,449593.40973201394
2013-01-07,328924.2409293723,199187.47238995926,475783.04596817796,328924.2409293723,328924.2409293723,0.02817101702568869,0.02817101702568869,0.02817101702568869,-0.033247438434340526,-0.033247438434340526,-0.033247438434340526,0.06141845546002921,0.06141845546002921,0.06141845546002921,0.0,0.0,0.0,338190.37132075534
2013-01-08,329323.8328359823,169596.10228780343,444459.71866393584,329323.8328359823,329323.8328359823,-0.05697034143893839,-0.05697034143893839,-0.05697034143893839,-0.10290775834273375,-0.10290775834273375,-0.10290775834273375,0.04593741690379535,0.04593741690379535,0.04593741690379535,0.0,0.0,0.0,310562.1416353365
2013-01-09,329723.4247425924,175537.72439508094,452330.9045449767,329723.4247425924,329723.4247425924,-0.03338639450573756,-0.03338639450573756,-0.03338639450573756,-0.06510548769913084,-0.06510548769913084,-0.06510548769913084,0.03171909319339328,0.03171909319339328,0.03171909319339328,0.0,0.0,0.0,318715.1484063533
2013-01-10,330123.0166492024,136288.31290902485,396070.62390991196,330123.0166492024,330123.0166492024,-0.1882592072172798,-0.1882592072172798,-0.1882592072172798,-0.20715480000006073,-0.20715480000006073,-0.20715480000006073,0.01889559278278094,0.01889559278278094,0.01889559278278094,0.0,0.0,0.0,267974.3192506467
2013-01-11,330522.6085558124,169489.2011118128,432076.373430134,330522.6085558124,330522.6085558124,-0.0784708995869841,-0.0784708995869841,-0.0784708995869841,-0.08603324223820026,-0.08603324223820026,-0.08603324223820026,0.007562342651216164,0.007562342651216164,0.007562342651216164,0.0,0.0,0.0,304586.2021286012
2013-01-12,330922.2004624224,256030.40238244183,528347.5053200615,330922.2004624224,330922.2004624224,0.20169855472227033,0.20169855472227033,0.20169855472227033,0.20392151252585422,0.20392151252585422,0.20392151252585422,-0.0022229578035838984,-0.0022229578035838984,-0.0022229578035838984,0.0,0.0,0.0,397668.7300212064
2013-01-13,331321.7923690324,283538.33272342215,555762.8085008289,331321.7923690324,331321.7923690324,0.28008677478733884,0.28008677478733884,0.28008677478733884,0.29052721418809485,0.29052721418809485,0.29052721418809485,-0.010440439400756004,-0.010440439400756004,-0.010440439400756004,0.0,0.0,0.0,424120.644610435
2013-01-14,331721.38427564246,182919.5028704098,453518.7897051067,331721.38427564246,331721.38427564246,-0.050354671167128925,-0.050354671167128925,-0.050354671167128925,-0.033247438433983416,-0.033247438433983416,-0.033247438433983416,-0.01710723273314551,-0.01710723273314551,-0.01710723273314551,0.0,0.0,0.0,315017.6630513377
2013-01-15,332120.97618225246,151192.95300913422,427431.6704955294,332120.97618225246,332120.97618225246,-0.1251834972354135,-0.1251834972354135,-0.1251834972354135,-0.10290775834274224,-0.10290775834274224,-0.10290775834274224,-0.022275738892671253,-0.022275738892671253,-0.022275738892671253,0.0,0.0,0.0,290544.9108785186
2013-01-16,332520.56808886246,168999.19182333045,441330.38371672475,332520.56808886246,332520.56808886246,-0.09113654609158779,-0.09113654609158779,-0.09113654609158779,-0.06510548769930911,-0.06510548769930911,-0.06510548769930911,-0.02603105839227867,-0.02603105839227867,-0.02603105839227867,0.0,0.0,0.0,302215.7920088309
2013-01-17,332920.15999547247,136992.22470384618,391388.8584851048,332920.15999547247,332920.15999547247,-0.23564245642252069,-0.23564245642252069,-0.23564245642252069,-0.20715480000016592,-0.20715480000016592,-0.20715480000016592,-0.028487656422354766,-0.028487656422354766,-0.028487656422354766,0.0,0.0,0.0,254470.03570156073
2013-01-18,333319.75190208247,158831.4717126699,430634.2263101673,333319.75190208247,333319.75190208247,-0.11581860370846049,-0.11581860370846049,-0.11581860370846049,-0.0860332422384774,-0.0860332422384774,-0.0860332422384774,-0.02978536146998309,-0.02978536146998309,-0.02978536146998309,0.0,0.0,0.0,294715.1236483328
2013-01-19,333719.34380869253,263245.2390464188,520414.2394811619,333719.34380869253,333719.34380869253,0.17383670200995488,0.17383670200995488,0.17383670200995488,0.20392151252606444,0.20392151252606444,0.20392151252606444,-0.03008481051610955,-0.03008481051610955,-0.03008481051610955,0.0,0.0,0.0,391732.0139333219
2013-01-20,334118.93571530253,273272.1934354442,551492.134552014,334118.93571530253,334118.93571530253,0.2609647470904337,0.2609647470904337,0.2609647470904337,0.2905272141880203,0.2905272141880203,0.2905272141880203,-0.0295624670975866,-0.0295624670975866,-0.0295624670975866,0.0,0.0,0.0,421312.19927237136
2013-01-21,334518.52762191254,181933.22744238994,459395.70594459446,334518.52762191254,334518.52762191254,-0.06165278658776274,-0.06165278658776274,-0.06165278658776274,-0.03324743843412874,-0.03324743843412874,-0.03324743843412874,-0.028405348153634005,-0.028405348153634005,-0.028405348153634005,0.0,0.0,0.0,313894.52822878613
2013-01-22,334918.11952852254,160656.53477755823,428475.05959805014,334918.11952852254,334918.11952852254,-0.12971335988191948,-0.12971335988191948,-0.12971335988191948,-0.1029077583425582,-0.1029077583425582,-0.1029077583425582,-0.02680560153936126,-0.02680560153936126,-0.02680560153936126,0.0,0.0,0.0,291474.7649591436
2013-01-23,335317.71143513254,174663.13144292636,440883.90421551553,335317.71143513254,335317.71143513254,-0.09006056595191432,-0.09006056595191432,-0.09006056595191432,-0.06510548769920353,-0.06510548769920353,-0.06510548769920353,-0.024955078252710785,-0.024955078252710785,-0.024955078252710785,0.0,0.0,0.0,305118.8085695838
2013-01-24,335717.3033417426,121207.13615710376,387345.9570024401,335717.3033417426,335717.3033417426,-0.2301948417576698,-0.2301948417576698,-0.2301948417576698,-0.20715479999986564,-0.20715479999986564,-0.20715479999986564,-0.023040041757804164,-0.023040041757804164,-0.023040041757804164,0.0,0.0,0.0,258436.91182367853
2013-01-25,336116.8952483526,161086.55174228217,439097.39641045453,336116.8952483526,336116.8952483526,-0.10726939361218925,-0.10726939361218925,-0.10726939361218925,-0.08603324223832416,-0.08603324223832416,-0.08603324223832416,-0.021236151373865076,-0.021236151373865076,-0.021236151373865076,0.0,0.0,0.0,300061.8397122501
2013-01-26,336516.4871549626,271160.353384547,535626.7995707222,336516.4871549626,336516.4871549626,0.18421766481755264,0.18421766481755264,0.18421766481755264,0.2039215125262746,0.2039215125262746,0.2039215125262746,-0.019703847708721967,-0.019703847708721967,-0.019703847708721967,0.0,0.0,0.0,398508.76859125576
2013-01-27,336916.0790615727,300516.4563642169,560821.8034843558,336916.0790615727,336916.0790615727,0.27194295836407817,0.27194295836407817,0.27194295836407817,0.2905272141879457,0.2905272141879457,0.2905272141879457,-0.018584255823867517,-0.018584255823867517,-0.018584255823867517,0.0,0.0,0.0,428538.03432200244
2013-01-28,337315.6709681827,170212.413760619,454966.3180417878,337315.6709681827,337315.6709681827,-0.0512431450125445,-0.0512431450125445,-0.0512431450125445,-0.03324743843393473,-0.03324743843393473,-0.03324743843393473,-0.017995706578609764,-0.017995706578609764,-0.017995706578609764,0.0,0.0,0.0,320030.55512575636
2013-01-29,337715.2628747927,165627.66193577638,434188.0117119216,337715.2628747927,337715.2628747927,-0.12093871719452849,-0.12093871719452849,-0.12093871719452849,-0.10290775834285651,-0.10290775834285651,-0.10290775834285651,-0.018030958851671983,-0.018030958851671983,-0.018030958851671983,0.0,0.0,0.0,296872.4122057023
2013-01-30,338114.85478140274,177326.48526082604,446799.4973453233,338114.85478140274,338114.85478140274,-0.0838606732756357,-0.0838606732756357,-0.0838606732756357,-0.06510548769919804,-0.06510548769919804,-0.06510548769919804,-0.018755185576437662,-0.018755185576437662,-0.018755185576437662,0.0,0.0,0.0,309760.31541494053
2013-01-31,338514.44668801274,116264.04134661758,389316.5876338226,338514.44668801274,338514.44668801274,-0.2273595653022907,-0.2273595653022907,-0.2273595653022907,-0.2071547999999708,-0.2071547999999708,-0.2071547999999708,-0.02020476530231991,-0.02020476530231991,-0.02020476530231991,0.0,0.0,0.0,261549.9492404807
2013-02-01,338914.03859462275,166994.8498499472,443589.83260606404,338914.03859462275,338914.03859462275,-0.10842014112990991,-0.10842014112990991,-0.10842014112990991,-0.08603324223810485,-0.08603324223810485,-0.08603324223810485,-0.022386898891805063,-0.022386898891805063,-0.022386898891805063,0.0,0.0,0.0,302168.930699286
2013-02-02,339313.63050123275,260030.78382790484,539442.3836128963,339313.63050123275,339313.63050123275,0.1786414639413628,0.1786414639413628,0.1786414639413628,0.20392151252646515,0.20392151252646515,0.20392151252646515,-0.02528004858510237,-0.02528004858510237,-0.02528004858510237,0.0,0.0,0.0,399929.1141892316
2013-02-03,339713.22240784275,297813.19145282597,557025.7118139433,339713.22240784275,339713.22240784275,0.26169203957179216,0.26169203957179216,0.26169203957179216,0.2905272141881908,0.2905272141881908,0.2905272141881908,-0.02883517461639861,-0.02883517461639861,-0.02883517461639861,0.0,0.0,0.0,428613.46844925696
2013-02-04,340112.8143144528,177289.43645542604,448819.1448733954,340112.8143144528,340112.8143144528,-0.06622516187277855,-0.06622516187277855,-0.06622516187277855,-0.03324743843408007,-0.03324743843408007,-0.03324743843408007,-0.03297772343869848,-0.03297772343869848,-0.03297772343869848,0.0,0.0,0.0,317588.7881314719
2013-02-05,340512.4062210628,160785.4752609098,423929.4030002575,340512.4062210628,340512.4062210628,-0.1405180603116213,-0.1405180603116213,-0.1405180603116213,-0.10290775834267252,-0.10290775834267252,-0.10290775834267252,-0.03761030196894881,-0.03761030196894881,-0.03761030196894881,0.0,0.0,0.0,292664.2633868362
2013-02-06,340911.9981276728,170614.1578401043,440306.1565729761,340911.9981276728,340911.9981276728,-0.10772144231499814,-0.10772144231499814,-0.10772144231499814,-0.06510548769919258,-0.06510548769919258,-0.06510548769919258,-0.042615954615805564,-0.042615954615805564,-0.042615954615805564,0.0,0.0,0.0,304188.465986872
2013-02-07,341311.5900342828,113724.17522024609,379755.5346026285,341311.5900342828,341311.5900342828,-0.2550167446575027,-0.2550167446575027,-0.2550167446575027,-0.207154800000076,-0.207154800000076,-0.207154800000076,-0.047861944657426665,-0.047861944657426665,-0.047861944657426665,0.0,0.0,0.0,254271.4194298639
2013-02-08,341711.1819408928,146542.34767056233,426342.5177494654,341711.1819408928,341711.1819408928,-0.1392371714159648,-0.1392371714159648,-0.1392371714159648,-0.08603324223851411,-0.08603324223851411,-0.08603324223851411,-0.053203929177450704,-0.053203929177450704,-0.053203929177450704,0.0,0.0,0.0,294132.2835262368
2013-02-09,342110.7738475029,248734.5928199965,537726.858584349,342110.7738475029,342110.7738475029,0.1454311049742364,0.1454311049742364,0.1454311049742364,0.20392151252612847,0.20392151252612847,0.20392151252612847,-0.05849040755189209,-0.05849040755189209,-0.05849040755189209,0.0,0.0,0.0,391864.32171173627
